participant_id,sample_id,genre,file,coherence_1_5,creativity_1_5,genre_match_1_5,overall_1_5,comments
11,7,Jazz,task4_survey_sample7_Jazz.mid,,,,,
11,8,Rock,task4_survey_sample8_Rock.mid,,,,,
11,9,Pop,task4_survey_sample9_Pop.mid,,,,,
11,10,Electronic,task4_survey_sample10_Electronic.mid,,,,,
12,1,Classical,task4_survey_sample1_Classical.mid,,,,,
12,2,Jazz,task4_survey_sample2_Jazz.mid,,,,,
12,3,Rock,task4_survey_sample3_Rock.mid,,,,,
12,4,Pop,task4_survey_sample4_Pop.mid,,,,,
12,5,Electronic,task4_survey_sample5_Electronic.mid,,,,,
12,6,Classical,task4_survey_sample6_Classical.mid,,,,,
12,7,Jazz,task4_survey_sample7_Jazz.mid,,,,,
12,8,Rock,task4_survey_sample8_Rock.mid,,,,,
12,9,Pop,task4_survey_sample9_Pop.mid,,,,,
12,10,Electronic,task4_survey_sample10_Electronic.mid,,,,,
